CourseNumber	Course	Department	Credits	Pre-Requisites	Co-Requisites	Semesters	Restrictions
CS 4791	Senior Software Engineering Project I	Computer Science	3	CS 4710 or CS 4711 or CS 4712	null	"Fall, Spring"	Permission of instructor required
CS 4792	Senior Software Engineering Project II	Computer Science	3	CS 4791	null	"Fall, Spring"	Permission of instructor required
CS 4811	Artificial Intelligence	Computer Science	3	CS 2321 and CS 3311	null	Spring	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
CS 4821	Data Mining	Computer Science	3	(CS 3425 or MIS 3100) and (MA 2330 or MA 2320 or MA 2321) and (MA 2710 or MA 2720 or MA 3710)	null	Spring	Permission of instructor required
EC 2001	Principles of Economics	Economics	3	MA 1020 or MA 1031 or MA 1032 or MA 1135(C) or MA 1160(C) or MA 1161(C)	null	"Fall, Spring, Summer"	Permission of instructor required
EC 3002	Microeconomic Theory	Economics	3	EC 2001 and (MA 1135 or MA 1160 or MA 1161) and UN 1015 and (UN 1025 or Modern Language - 3000 level or higher)	null	Spring	Permission of instructor required
EC 3003	Macroeconomic Theory	Economics	3	EC 2001 and (MA 1135 or MA 1160 or MA 1161) and UN 1015 and (UN 1025 or Modern Language - 3000 level or higher)	null	Fall	Permission of instructor required
EC 3100	International Economics	Economics	3	EC 2001 and UN 1015 and (UN 1025 or Modern Language - 3000 level or higher)	null	"Fall, Spring, Summer"	Permission of instructor required
EC 3300	Industrial Organization	Economics	3	EC 2001 and UN 1015 and (UN 1025 or Modern Language - 3000 level or higher)	null	"Fall, Spring, Summer"	Permission of instructor required
EC 3400	Economic Decision Analysis	Economics	3	UN 1015 and (UN 1025 or Modern Language - 3000 level or higher)	null	"Fall, Spring, Summer"	"May not be enrolled in one of the following Major(s): Finance, Operations and Systems Mgmnt, Management Information Systems, Marketing, Accounting, Management; May not be enrolled in one of the following Class(es): Freshman, Sophomore"
EC 4000	Senior Seminar in Economics	Economics	3	null	null	Spring	"Must be enrolled in one of the following Major(s): Economics; May not be enrolled in one of the following Class(es): Freshman, Sophomore, Junior"
EC 4050	Game Theory/Strategic Behavior	Economics	3	UN 1015 and (UN 1025 or Modern Language - 3000 level or higher)	null	"Fall, Summer"	May not be enrolled in one of the following Class(es): Freshman
EC 4100	Mathematical Economics	Economics	3	EC 3002 and EC 3003 and (MA 1160 or MA 1161 or MA 1135)	null	Fall	May not be enrolled in one of the following Class(es): Freshman
EC 4200	Econometrics	Economics	3	(EC 2001 or EC 3002 or EC 3003) and (BUS 2100 or MA 2710 or MA 2720 or MA 3710) and (MA 1135 or MA 1160 or MA 1161)	null	Fall	May not be enrolled in one of the following Class(es): Freshman
EC 4400	Banking and Financial Institutions	Economics	3	(EC 3003 or FIN 3000) and UN 1015 and (UN 1025 or Modern Language - 3000 level or higher)	null	"Fall, Spring"	May not be enrolled in one of the following Class(es): Freshman
EC 4500	Public Sector Economics	Economics	3	EC 2001 and UN 1015 and (UN 1025 or Modern Language - 3000 level or higher)	null	Fall	May not be enrolled in one of the following Class(es): Freshman
EC 4620	Energy Economics	Economics	3	EC 2001 and UN 1015 and (UN 1025 or Modern Language - 3000 level or higher)	null	Spring	May not be enrolled in one of the following Class(es): Freshman
EC 4630	Mineral Industry Economics	Economics	3	EC 2001 and UN 1015 and (UN 1025 or Modern Language - 3000 level or higher)	null	"Fall, Spring - Offered alternate years beginning with the 2009-2010 academic year "	May not be enrolled in one of the following Class(es): Freshman
EC 4640	Natural Resource Economics	Economics	3	(EC 2001 or EC 3002 or FW 4080) and UN 1015 and (UN 1025 or Modern Language - 3000 level or higher)	null	Fall	May not be enrolled in one of the following Class(es): Freshman
