CourseNumber	Course	Department	Credits	Pre-Requisites	Co-Requisites	Semesters	Restrictions
MA 3310	Introduction to Abstract Algebra	Mathematical Sciences	3	MA 2320 or MA 2321 or MA 2330	null	"Fall, Summer"	Permission of instructor required
MA 3450	Introduction to Real Analysis	Mathematical Sciences	3	MA 2160	null	Spring	Permission of instructor required
MA 3520	Elementary Differential Equations	Mathematical Sciences	2	MA 2160 and (MA 2320 or MA 2321 or MA 2330)	null	"Fall, Spring, Summer"	"May not be enrolled in one of the following Major(s): Mathematics, Computer Science"
MA 3521	Elementary Differential Equations	Mathematical Sciences	2	MA 2160	MA 2321	"Fall, Spring"	"May not be enrolled in one of the following Major(s): Mathematics, Computer Science"
MA 3530	Introduction to Differential Equations	Mathematical Sciences	3	MA 2160 and (MA 2320 or MA 2321 or MA 2330)	null	Fall	"May not be enrolled in one of the following Major(s): Mathematics, Computer Science"
MA 3560	Mathematical Modeling with Differential Equations	Mathematical Sciences	3	MA 2160 and (MA 2320 or MA 2321 or MA 2330)	null	Spring	"May not be enrolled in one of the following Major(s): Mathematics, Computer Science"
MA 3710	Engineering Statistics	Mathematical Sciences	3	MA 2160	null	"Fall, Spring, Summer"	"May not be enrolled in one of the following Major(s): Mathematics, Computer Science"
MA 3715	Biostatistics	Mathematical Sciences	3	MA 1135 or MA 1160 or MA 1161	null	Spring	"May not be enrolled in one of the following Major(s): Mathematics, Computer Science"
MA 3720	Probability	Mathematical Sciences	3	MA 1160 or MA 1161	null	"Fall, Summer"	"May not be enrolled in one of the following Major(s): Mathematics, Computer Science"
MA 3740	Statistical Programming and Analysis	Mathematical Sciences	3	MA 2710 or MA 2720 or MA 3710 or MA 3715	null	Fall	"May not be enrolled in one of the following Major(s): Mathematics, Computer Science"
MA 3750	Introduction to SAS Programming	Mathematical Sciences	1.0; Graded Pass/Fail Only	MA 2710 or MA 2720 or MA 3710 or MA 3715	null	Spring	"May not be enrolled in one of the following Major(s): Mathematics, Computer Science"
MA 3810	Introduction to Actuarial Mathematics	Mathematical Sciences	3	MA 3160(C)	null	"Fall, Summer"	"May not be enrolled in one of the following Major(s): Mathematics, Computer Science"
MA 3811	Actuarial Exam Workshop	Mathematical Sciences	1.0;  Repeatable to a Max of 4; Graded Pass/Fail Only	MA 3160	null	"Fall, Spring"	"May not be enrolled in one of the following Major(s): Mathematics, Computer Science"
MA 3924	College Geometry with Technology	Mathematical Sciences	3	MA 2160 or MA 2330	null	Fall	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
MA 3990	Math Sciences Teach Experience	Mathematical Sciences	variable to   4.0;  Repeatable to a Max of 4; Graded Pass/Fail Only	null	null	"Fall, Spring, Summer"	Permission of instructor required
MA 3999	Intermediate Topics in Mathematics	Mathematical Sciences	variable to   4.0;  Repeatable to a Max of 6	null	null	"Fall, Spring, Summer"	Permission of instructor required
MA 4208	Optimization and Graph Algorithms	Mathematical Sciences	3	MA 3210	null	Spring	Permission of instructor required
MA 4209	Combinatorics and Graph Theory	Mathematical Sciences	3	MA 3210	null	Fall	Permission of instructor required
MA 4310	Abstract Algebra	Mathematical Sciences	3	MA 3310	null	Spring	Permission of instructor required
MA 4330	Linear Algebra	Mathematical Sciences	3	(MA 2320 or MA 2321 or MA 2330) and MA 3160	null	Fall	Permission of instructor required
MA 4410	Complex Variables	Mathematical Sciences	3	MA 3160	null	Spring	Permission of instructor required
MA 4450	Real Analysis	Mathematical Sciences	3	(MA 2320 or MA 2321 or MA 2330) and MA 3160 and MA 3450	null	Fall	Permission of instructor required
MA 4515	Introduction to Partial Differential Equations	Mathematical Sciences	3	(MA 3520 or MA 3521 or MA 3530 or MA 3560) and MA 3160	null	"Fall, Spring, Summer"	Permission of instructor required
MA 4525	Applied Vector and Tensor Mathematics	Mathematical Sciences	3	MA 3160 and (MA 2320 or MA 2321 or MA 2330)	null	Fall	Permission of instructor required
MA 4535	Nonlinear Dynamics and Chaos	Mathematical Sciences	3	(MA 3520 or MA 3521 or MA 3530 or MA 3560) and MA 3160	null	Fall	Permission of instructor required
MA 4610	Numerical Linear Algebra	Mathematical Sciences	3	MA 2320 or MA 2321 or MA 2330	null	Spring	Permission of instructor required
MA 4620	Numerical Methods for PDEs	Mathematical Sciences	3	(MA 3520 or MA 3521 or MA 3530 or MA 3560) and MA 3160	null	Fall	Permission of instructor required
MA 4710	Regression Analysis	Mathematical Sciences	3	MA 2710 or MA 2720 or MA 3710 or MA 3715	null	Fall	Permission of instructor required
MA 4720	Design and Analysis of Experiments	Mathematical Sciences	3	MA 2710 or MA 2720 or MA 3710 or MA 3715	null	Spring	Permission of instructor required
MA 4730	Nonparametric Statistics	Mathematical Sciences	3	MA 2710 or MA 2720 or MA 3710	null	Spring - Offered alternate years beginning with the 2016-2017 academic year 	Permission of instructor required
MA 4760	Mathematical Statistics I	Mathematical Sciences	3	MA 3720	null	Fall	Permission of instructor required
MA 4770	Mathematical Statistics II	Mathematical Sciences	3	MA 4760	null	Spring	Permission of instructor required
MA 4780	Time Series Analysis and Forecasting	Mathematical Sciences	3	MA 2710 or MA 2720 or MA 3710 or MA 3715	null	Spring	Permission of instructor required
MA 4790	Predictive Modeling	Mathematical Sciences	3	MA 3740 or MA 4710 or MA 4720 or MA 4780	null	Fall	Permission of instructor required
MA 4810	Life Contingencies	Mathematical Sciences	3	MA 3720 and MA 3810	null	Spring - Offered alternate years beginning with the 2004-2005 academic year 	Permission of instructor required
MA 4820	Loss Distributions and Credibility Theory	Mathematical Sciences	3	MA 3720	null	Spring - Offered alternate years beginning with the 2005-2006 academic year 	Permission of instructor required
MA 4900	Mathematical Sciences Project	Mathematical Sciences	variable to   4.0;  Repeatable to a Max of 6	null	null	"Fall, Spring, Summer"	Permission of instructor required
MA 4905	Methods of Teaching Mathematics	Mathematical Sciences	2	ED 4700(C)	null	Spring	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
MA 4908	Theory of Numbers with Technology	Mathematical Sciences	3	MA 3210 or MA 3310 or MA 3924	null	Spring	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
MA 4945	History of Mathematics	Mathematical Sciences	3	UN 1015 and UN 1025 or Modern Language - 3000 level or higher	null	Fall	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
MA 4990	Topics in Mathematics	Mathematical Sciences	variable to   4.0;  Repeatable to a Max of 6	null	null	"Fall, Spring, Summer"	Permission of instructor required
MEEM 2110	Engrg. Mech.</h3><b>MEEM 2110 - Statics	Mechanical Eng. - Engrg. Mech.	3	MA 2160	null	"Fall, Spring, Summer"	"Must be enrolled in one of the following College(s): Sch of Forest Res &amp; Envir Sci, College of Engineering"
MEEM 2150	Mechanics of Materials	Mechanical Eng. - Engrg. Mech.	3	MEEM 2110	null	"Fall, Spring, Summer"	"Must be enrolled in one of the following College(s): Sch of Forest Res &amp; Envir Sci, College of Engineering"
MEEM 2201	Introductory Thermodynamics	Mechanical Eng. - Engrg. Mech.	3	MA 2160 and CH 1150 and CH 1151	null	"Fall, Spring, Summer"	Must be enrolled in one of the following College(s): College of Engineering
MEEM 2700	Dynamics	Mechanical Eng. - Engrg. Mech.	3	PH 2100 and (MEEM 2110 or ENG 2120) and MA 3160(C)	null	"Fall, Spring, Summer"	Must be enrolled in one of the following College(s): College of Engineering
MEEM 2901	Mechanical Engineering Practice I	Mechanical Eng. - Engrg. Mech.	2	MEEM 2110(C) and ENG 1102 and UN 1015	null	"Fall, Spring, Summer"	Must be enrolled in one of the following Major(s): Mechanical Engineering
MEEM 2911	Mechanical Engineering Practice II	Mechanical Eng. - Engrg. Mech.	3	MEEM 2901 and MEEM 2201(C) and (MA 2320(C) or MA 2321(C) or MA 2330(C))	null	"Fall, Spring, Summer"	Must be enrolled in one of the following Major(s): Mechanical Engineering
MEEM 3201	introductory Fluid Mechanics &amp; Heat Transfer	Mechanical Eng. - Engrg. Mech.	4	MEEM 2201 and MEEM 2911 and (MA 3520 or MA 3521 or MA 3530 or MA 3560)	null	"Fall, Spring, Summer"	Must be enrolled in one of the following Major(s): Mechanical Engineering
MEEM 3400	Mechanical System Design and Analysis	Mechanical Eng. - Engrg. Mech.	3	MEEM 2150 and MEEM 2700	null	"Fall, Spring, Summer"	Must be enrolled in one of the following Major(s): Mechanical Engineering
MEEM 3600	Introduction to Manufacturing	Mechanical Eng. - Engrg. Mech.	3	MEEM 2150 and MY 2100	null	"Fall, Spring, Summer"	"Must be enrolled in one of the following College(s): School of Technology, College of Engineering"
MEEM 3750	Dynamic Systems	Mechanical Eng. - Engrg. Mech.	4	MEEM 2700 and MEEM 2911 and (MA 3520 or MA 3521 or MA 3530 or MA 3560)	null	"Fall, Spring, Summer"	Must be enrolled in one of the following Major(s): Mechanical Engineering
MEEM 3901 - Mechanical Engineering Practice III	Mechanical Engineering Practice III - Model Based Design	Mechanical Eng. - Engrg. Mech.	2	MEEM 2911(C) and MEEM 2150 and MEEM 2700	null	"Fall, Spring, Summer"	Must be enrolled in one of the following Major(s): Mechanical Engineering
MEEM 3911	Mechanical Engineering Practice IV	Mechanical Eng. - Engrg. Mech.	3	MEEM 3901 and EE 3010 and MEEM 3400(C) and MEEM 3600(C)	null	"Fall, Spring, Summer"	Must be enrolled in one of the following Major(s): Mechanical Engineering
MEEM 3999	Mechanical Engineering Undergraduate Research Project	Mechanical Eng. - Engrg. Mech.	3.0;  Repeatable to a Max of 6	null	null	"Fall, Spring, Summer"	"Permission of department required; Must be enrolled in one of the following Major(s): Mechanical Eng-Eng Mechanics, Mechanical Engineering; May not be enrolled in one of the following Class(es): Freshman, Sophomore, Senior"
MEEM 4150	Intermediate Mechanics of Materials	Mechanical Eng. - Engrg. Mech.	3	MEEM 2150	null	Spring	"Permission of department required; Must be enrolled in one of the following Major(s): Mechanical Eng-Eng Mechanics, Mechanical Engineering; May not be enrolled in one of the following Class(es): Freshman, Sophomore, Senior"
MEEM 4160	Fund of Exp Stress Analysis	Mechanical Eng. - Engrg. Mech.	3	MEEM 2150	null	Fall	May not be enrolled in one of the following Level(s): Graduate
MEEM 4170	Failure of Materials in Mechanics	Mechanical Eng. - Engrg. Mech.	3	MEEM 3501 or MEEM 3400	null	Spring	May not be enrolled in one of the following Level(s): Graduate
MEEM 4180	Engineering Biomechanics	Mechanical Eng. - Engrg. Mech.	3	MEEM 2150 and MEEM 2700	null	Fall	May not be enrolled in one of the following Level(s): Graduate
MEEM 4200	Principles of Energy Conversion	Mechanical Eng. - Engrg. Mech.	3	MEEM 4201(C) or MEEM 3230(C) or CM 3230 or ENG 3200 or MY 3100	null	Fall	May not be enrolled in one of the following Level(s): Graduate
MEEM 4201	Intermediate Thermodynamics	Mechanical Eng. - Engrg. Mech.	3	MEEM 3201(C)	null	"Fall, Spring"	"Must be enrolled in one of the following Major(s): Mechanical Engineering, Mechanical Eng-Eng Mechanics, Engineering Mechanics"
MEEM 4202	Intermediate Fluid Mechanics and Heat Transfer	Mechanical Eng. - Engrg. Mech.	4	MEEM 3201	null	Fall	"Must be enrolled in one of the following Major(s): Mechanical Engineering, Mechanical Eng-Eng Mechanics, Engineering Mechanics"
MEEM 4210	Computational Fluids Engineering	Mechanical Eng. - Engrg. Mech.	3	MEEM 3230(C) or MEEM 3201(C)	null	Fall	May not be enrolled in one of the following Level(s): Graduate
MEEM 4220	Internal Combustion Engines I	Mechanical Eng. - Engrg. Mech.	3	MEEM 3210 or MEEM 4201(C)	null	Spring	May not be enrolled in one of the following Level(s): Graduate
MEEM 4230	Compressible Flow/Gas Dynamics	Mechanical Eng. - Engrg. Mech.	3	MEEM 3210 or MEEM 3201	null	Spring	May not be enrolled in one of the following Level(s): Graduate
MEEM 4240	Combustion &amp; Air Pollution	Mechanical Eng. - Engrg. Mech.	3	MEEM 2200 or MEEM 2201	null	"Fall, Spring"	"Must be enrolled in one of the following College(s): College of Engineering; May not be enrolled in one of the following Class(es): Freshman, Sophomore, Junior"
MEEM 4250	Heating/Ventilation/Air Cond	Mechanical Eng. - Engrg. Mech.	3	MEEM 3230(C) or MEEM 3201	null	Spring - Offered alternate years beginning with the 2004-2005 academic year 	"Must be enrolled in one of the following College(s): College of Engineering; May not be enrolled in one of the following Class(es): Freshman, Sophomore, Junior"
MEEM 4260	Fuel Cell Technology	Mechanical Eng. - Engrg. Mech.	3	MEEM 3230 or CM 3110 or MEEM 3201	null	Fall	Must be enrolled in one of the following College(s): College of Engineering; Must be enrolled in one of the following Class(es): Senior
MEEM 4295	Introduction to Propulsion Systems for Hybrid Electric Vehicles	Mechanical Eng. - Engrg. Mech.	3	MEEM 2200 or ENG 3200 or MEEM 2201	null	"Fall, Summer"	"Must be enrolled in one of the following College(s): College of Engineering; May not be enrolled in one of the following Class(es): Freshman, Sophomore"
MEEM 4296	Experimental Studies in Hybrid Electric Vehicles	Mechanical Eng. - Engrg. Mech.	3	null	null	"Fall, Summer"	"Must be enrolled in one of the following College(s): College of Engineering; May not be enrolled in one of the following Class(es): Freshman, Sophomore, Junior"
MEEM 4404	Mechanism Synthesis/Dynamic Modeling	Mechanical Eng. - Engrg. Mech.	3	MEEM 3502(C) or MEEM 3400	null	"Fall, Spring"	"Must be enrolled in one of the following College(s): College of Engineering; May not be enrolled in one of the following Class(es): Freshman, Sophomore, Junior"
